Date,Price
11/9/2017,1129.13
11/8/2017,1132.88
11/7/2017,1123.17
11/6/2017,1120.66
11/3/2017,1111.6
11/2/2017,1094.22
11/1/2017,1103.68
10/31/2017,1105.28
10/30/2017,1110.85
10/27/2017,1100.95
10/26/2017,972.43
10/25/2017,972.91
10/24/2017,975.9
10/23/2017,966.3
10/20/2017,982.91
10/19/2017,986.61
10/18/2017,997
10/17/2017,1009.13
10/16/2017,1006.34
10/13/2017,1002.94
10/12/2017,1000.93
10/11/2017,995
10/10/2017,987.2
10/9/2017,990.99
